Genes,Ctrl_a,Ctrl_b,Ctrl_c,Ctrl_d
GENE1,806.804354347728,419.67287139592,593.985620795778,413.807363774365
GENE2,503.134497283004,797.646450198155,545.493702625789,377.077698116959
GENE3,404.396055300232,447.021316557368,424.530101932977,511.430292634614
GENE4,409.045090047837,794.361254364826,348.5564660976,705.316834764782
GENE5,364.512625527233,566.094910836863,412.085684426005,589.216359627817
GENE6,473.393830202166,572.526602717109,459.638115897292,436.279855987409
GENE7,778.102888729368,595.915667266124,479.940256221759,428.82225540403
GENE8,719.251702596386,441.12981400986,476.645472907102,385.934050066379
GENE9,403.669785166702,576.836495821063,408.79804979481,674.432767370608
GENE10,493.258386559163,647.337462481069,572.35803039009,369.908718807581
GENE11,720.625158502301,584.824324879337,456.224292711518,579.951855793798
GENE12,509.44229062143,306.16198809442,464.204803875579,704.328344588598
GENE13,402.190219130424,595.510519467978,689.342081991339,684.320882945022
GENE14,437.638309115626,778.706281184442,547.679673386423,354.118248168242
GENE15,546.172474363472,471.966425981805,648.206096840707,545.545441111763
GENE16,638.360574244699,711.062905090312,731.497943373914,552.50262276458
GENE17,659.752035427336,760.885143094142,710.17193059556,757.880368513222
GENE18,586.14525919561,423.559806988888,389.258511070305,377.932822378402
GENE19,483.601085125937,410.243203401982,431.752595979996,438.315933607791
GENE20,341.554168497637,753.563317587136,780.298878433247,507.362805736746
GENE21,485.071820872144,733.125211726307,506.156489771995,536.27040841095
GENE22,479.014378116641,474.795542924619,555.882364833303,464.179999942121
GENE23,511.092511264091,528.458364917178,606.737037244169,601.73223261295
GENE24,716.74173312908,766.934139072339,523.659971354298,537.727529418689
GENE25,793.260383120251,657.235686482028,801.016917643155,461.640729133378
GENE26,833.717208060929,614.613762914971,441.495319668119,398.526861286809
GENE27,529.66996640006,573.356349296241,470.638858639727,543.309114041434
GENE28,539.111621625843,502.229635989653,355.844082406789,693.377287638393
GENE29,494.789278274819,266.438492797561,736.405128370141,470.064549345911
GENE30,507.354145080046,363.192436008282,434.496208488763,328.404379858255
GENE31,561.956768503837,591.14721973601,574.065333451956,636.981932776065
GENE32,552.304726511435,479.27663140257,663.623460959131,571.441270126714
GENE33,548.809576632104,487.504423958347,472.115636760503,525.661194352186
GENE34,683.202676156719,698.23525475855,726.516221282498,561.718997730254
GENE35,569.636689941918,591.851722765799,390.101926822549,309.248871564018
GENE36,692.710733766302,549.477185297486,517.431585108458,504.571582297753
GENE37,616.762919083252,362.461334312322,666.982087456209,619.468663465309
GENE38,551.582926915554,798.200011923866,213.157430840736,496.918677790504
GENE39,628.213397941736,665.713168152436,505.121622989094,486.99751274022
GENE40,516.593792403106,435.454418557779,598.52301295671,520.272696264973
GENE41,767.162605440006,909.495707991434,533.389381989287,524.87989814321
GENE42,764.71908277987,284.690679892944,583.351757202113,506.757356466221
GENE43,520.047367883654,680.578608175846,627.320919293892,592.588294256041
GENE44,500.912561682616,521.325935737198,559.138456790793,422.358210588265
GENE45,467.418639228663,412.340198309727,467.759046207576,588.853891526262
GENE46,748.222763687048,514.853153134491,556.606657260095,418.427773841207
GENE47,676.883148606408,461.547834034411,651.754494377641,501.590833870092
GENE48,657.748933232987,533.509346319342,656.694839313255,565.782439817849
GENE49,482.210668519825,567.319059061901,313.94161525985,414.714716022211
GENE50,581.369279179789,379.076053664129,628.093808605115,667.911304219552
GENE51,433.983770508996,671.180525472502,558.221629111707,569.402674721673
GENE52,650.870420683441,592.312919066183,417.194880238673,740.353403358467
GENE53,721.530281386334,895.275057676229,523.448929117125,694.206316376948
GENE54,392.782875789683,696.775933762358,677.266115219122,756.993955914448
GENE55,586.273382699293,518.484783749374,486.390071291084,450.47805475113
GENE56,496.062170560916,618.863114506875,732.644101220791,616.728749939148
GENE57,421.030519822639,574.271507411588,592.509128001938,340.941197998381
GENE58,460.462105892697,284.496005920536,624.332786717056,620.960173303611
GENE59,647.34617360021,591.512927313341,448.978442422974,518.506074654315
GENE60,768.07510793039,625.915936145084,548.67186271968,388.710122445725
GENE61,699.489254925317,608.861669843442,531.140892687453,605.571717475924
GENE62,529.417352659783,455.282875784783,505.277702527363,358.644785383032
GENE63,433.056577983115,411.65514906139,395.419172912439,541.332105631565
GENE64,451.077728220399,444.96644625933,432.237618966086,583.402423016017
GENE65,437.083715344477,355.445797482581,445.754400347441,499.986889615984
GENE66,523.245619328813,739.776205333777,213.189984737101,390.84949671835
GENE67,433.608606875386,631.474379592836,493.927488046428,623.046830403408
GENE68,508.717362544697,570.877635240274,500.802054074837,573.389322472786
GENE69,723.825900938344,517.897679867183,668.582915318696,711.45917690321
GENE70,467.644837313621,702.544845746465,462.63398583523,716.979301742562
GENE71,769.49424164001,805.269833537591,581.357876476799,577.689866090203
GENE72,593.11847573121,631.639055040581,598.024575368057,308.664927105276
GENE73,485.45496711433,504.950400398941,674.225029061233,597.108866742179
GENE74,686.757538798307,625.845389382864,609.290453690004,681.435511758952
GENE75,401.410319017711,550.738758822944,601.203002146366,442.151327854989
GENE76,546.461400583438,734.107977943281,494.485775352103,714.465415385016
GENE77,336.553133691368,613.724109895978,584.209463501278,466.446325503178
GENE78,390.112292560579,790.892757829954,338.858174836711,440.337703525309
GENE79,511.845762386449,565.554563117071,563.790573234668,665.420941219409
GENE80,351.136121789892,438.361484204853,313.616762600247,624.476316518045
GENE81,625.224646546275,494.746995304767,463.615545350097,735.920925558545
GENE82,383.632180141995,645.433373144122,541.504106927447,586.153974046326
GENE83,675.441716273848,862.373273340024,588.924894835575,794.425311791635
GENE84,418.072463106392,388.40704827159,691.25663781999,446.742581953183
GENE85,346.246846907706,651.36859118446,489.600406150921,398.80716122222
GENE86,662.989188478295,574.62206292385,574.300060634063,680.169348402648
GENE87,727.273156972023,587.286376417864,478.508869591288,680.762893024466
GENE88,605.670718194096,601.412102138734,504.779896104694,518.961028995858
GENE89,538.89430856628,654.359367524178,338.876575214822,858.075465341168
GENE90,596.983839218316,501.723360214355,641.120764633725,930.587645069524
GENE91,567.141225432726,665.001028687055,620.192521580397,731.795522948162
GENE92,564.670164016601,450.139277264575,632.04997897198,488.533758103337
GENE93,651.79853180704,288.865027973085,750.630952229014,637.813810118645
GENE94,739.47399488498,531.449504352437,440.520076082862,607.576930305797
GENE95,826.763341437207,564.445675584849,612.523691209314,658.161106443346
GENE96,609.968217985053,145.832526386606,471.764601567193,490.972890215881
GENE97,588.283258721411,665.667258628451,615.259816886189,594.078995948959
GENE98,724.929104978894,931.784684148691,525.69844383253,682.107833856557
GENE99,558.220994830415,736.525000617026,678.897162450933,488.628339584288
GENE100,554.306532859084,637.979759867398,514.40014211831,699.025790814704
GENE101,524.035755202114,507.219460278336,472.805815167596,395.27842460253
GENE102,492.334365204012,470.976588136266,740.335964408834,619.775265778954
GENE103,591.954079485744,508.340043782181,631.617331242431,526.725773974272
GENE104,507.024620609495,540.466607314251,834.026588402908,629.405827255124
GENE105,589.420295125315,584.976081242591,653.096715961232,368.26758075961
GENE106,653.03810169111,433.248976247737,612.436833072423,528.237013282879
GENE107,539.348078789465,378.916959628319,950.583686011617,568.975242179971
GENE108,485.897394698043,392.738017855528,413.736044661217,454.17670176039
GENE109,821.581756104963,358.161706714758,360.970131381426,804.37312473831
GENE110,224.7499097871,749.120985765952,524.34979285121,557.610790458809
GENE111,614.111003561625,645.129172759522,447.965567008144,398.782488888161
GENE112,591.945333738308,572.867615332047,526.238948929302,579.242486588076
GENE113,644.269397495734,435.43011379358,651.570277612815,481.385297406741
GENE114,602.627810271385,630.193092864604,593.498530321643,572.587610346184
GENE115,955.839370001455,925.949874022436,455.530945970976,523.790786403626
GENE116,425.821662862465,388.903439700784,456.015346123998,426.882669654298
GENE117,671.442887796128,381.501364589262,819.122340628736,628.635727817129
GENE118,479.687494770873,470.689419412852,625.241817034865,569.188500712949
GENE119,437.992709817909,587.415235508625,651.470829216513,635.784353587046
GENE120,488.359134169849,534.731121965961,663.254967200288,484.664878540018
GENE121,616.564141562635,378.217388372076,708.761929937782,657.757007051864
GENE122,645.671153200299,370.593856158361,753.917870124456,682.575781229327
GENE123,611.300213823752,600.748594848823,819.012505700845,393.72662376654
GENE124,471.53188564636,449.963552800284,317.647536992368,554.789947549924
GENE125,819.577904524241,718.161217189299,644.818215751287,452.567464204631
GENE126,579.349359363541,664.06793102427,464.485328813988,552.368754461846
GENE127,495.927928434334,505.481312394068,310.130792504931,429.851045928683
GENE128,663.371293817681,520.6272109459,532.634024564173,662.341755007762
GENE129,746.589845760659,577.442313689822,649.605123881538,637.235575759452
GENE130,510.977727380927,685.963746198146,723.789039048335,532.532500088612
GENE131,602.870511813986,606.705309281811,578.929193796204,376.605643318109
GENE132,364.137717352517,704.929891288656,339.633993279956,485.606878655643
GENE133,543.261498917622,681.817286774469,794.02292740756,678.472493787275
GENE134,534.001380894069,694.390666144509,490.556906476384,759.306800126535
GENE135,457.061043288302,343.983672039912,332.960067071498,455.867137514101
GENE136,450.801632524265,519.598702105981,493.360994856387,469.844284468994
GENE137,702.81601893425,839.341109979868,646.269424139015,629.295131612395
GENE138,362.811254232279,468.518341926054,630.557003897118,419.654035025816
GENE139,465.935195649418,619.38579405245,670.845823015828,750.872740854096
GENE140,578.431654275268,723.03887826309,672.471179669698,467.09115637197
GENE141,632.228580874912,599.933257948824,407.54520876423,548.305311098685
GENE142,875.490987342366,271.869148551326,461.363812634451,277.641833838487
GENE143,543.023893740398,753.192923135231,674.504355250698,517.328509378787
GENE144,575.613813732765,568.359051480766,681.160221620778,267.011943129445
GENE145,681.297384154393,378.163997523292,642.851821904735,695.354023756004
GENE146,670.604714696411,631.473725401673,502.232612690624,556.672365599061
GENE147,547.888553545492,607.128717205213,429.570508198281,509.695879928078
GENE148,527.600380065344,560.923873373572,683.361783057761,517.881833983694
GENE149,425.470043768385,306.091789980142,522.07300612187,422.603994950505
GENE150,674.403758755128,503.974957906076,545.095415706757,838.627854882935
GENE151,502.372202238268,393.749080759652,336.496722909727,352.677441201609
GENE152,583.678007552238,536.755233935722,675.332945764173,749.781040205018
GENE153,468.190349380446,506.683071635858,700.70217083515,625.6070500303
GENE154,353.918343015974,570.357604206469,518.668673326044,689.533892676208
GENE155,792.149378430178,561.519909053143,627.950726920147,400.426609194889
GENE156,727.947830586767,571.643043366378,674.719374746055,664.122277769044
GENE157,425.776897484003,382.99244427971,699.086584567691,521.136498225523
GENE158,605.482450784021,634.323059703721,602.486651832055,618.155097968257
GENE159,636.538983953786,661.054971428928,513.769626634289,846.29387098928
GENE160,659.603384671985,606.448775833921,609.021773111176,675.559173846847
GENE161,521.22091901588,433.560600406197,648.188864729613,644.59265559304
GENE162,629.613027263593,705.248496041109,458.23818129433,467.75111937875
GENE163,169.109464115335,600.248832284492,638.946015769946,801.82526292773
GENE164,606.53899190331,726.544104622725,375.86368344126,496.818484037113
GENE165,391.899315774613,677.328220655854,547.948060758829,707.185768961531
GENE166,564.662941742774,375.874111959745,590.950928524969,610.542678655066
GENE167,543.078437996318,527.735389732917,649.561825227651,555.163575473854
GENE168,614.665286889409,414.440003063021,637.099308016531,675.166478497318
GENE169,580.39882381578,682.929902218654,747.233021155718,372.85557571957
GENE170,704.16437854708,514.301605463045,561.998555757924,681.484631984086
GENE171,576.233814077452,407.391763896135,678.561161035938,655.547124211722
GENE172,488.418478009002,738.874851612405,880.433989530496,351.643809167952
GENE173,392.491359101747,459.968928754717,615.62445996932,591.12558935351
GENE174,519.533205146607,483.235338995602,322.392847832737,749.197426701585
GENE175,609.318849789915,328.176368447981,472.092248610868,386.78781069754
GENE176,541.763642318689,673.408187674562,746.477752780864,758.090352266975
GENE177,649.511278872879,562.853925409859,494.029657687179,542.189205577231
GENE178,569.520318824668,691.506526229702,313.912097879694,376.912306239692
GENE179,462.685105011051,774.12491519984,400.161420043626,473.181184654068
GENE180,570.321168923834,435.7706004109,700.429233263159,489.063115200963
GENE181,575.192958416371,788.443674025833,498.504809956868,545.944720289307
GENE182,581.684228217809,504.294773237708,752.973598690419,477.701506888681
GENE183,760.675661922724,616.331422968189,241.03678811351,389.36514043883
GENE184,662.725427246075,735.446081139082,539.116633909677,574.787319219826
GENE185,517.896934228482,580.65946101584,530.635969740671,709.937935252067
GENE186,604.979935752568,492.038852482891,509.87206081936,417.296372940614
GENE187,658.165858896187,571.234749080538,371.367016575487,409.611337278604
GENE188,769.432419870447,480.956872275895,518.966741950146,462.38864826244
GENE189,553.949472021138,754.022988663432,801.453866124475,521.370548530002
GENE190,749.359689843811,595.237035672985,524.748594718392,343.9805648966
GENE191,674.579369061251,604.807092914256,458.182369818557,520.799614819943
GENE192,695.589815195329,548.02583103946,453.950118782008,279.119688087164
GENE193,613.432947737278,563.493528175871,392.854468573448,340.930911389696
GENE194,634.401383563649,468.604618194396,597.907636004857,474.979547138839
GENE195,717.952279500424,654.628449713335,377.53858139066,643.755251341556
GENE196,463.892806523396,590.516684672256,415.601099016263,474.262538160589
GENE197,766.600591712095,646.929853484389,610.56866023638,704.546288853226
GENE198,629.881845403178,445.760138757088,822.177838429857,329.803519322422
GENE199,290.355107285633,756.965971682074,584.29282991322,347.079892347787
GENE200,469.545383181707,818.70087603757,316.049839864893,841.881707258687
GENE201,499.345368905865,441.157189236245,505.532244079243,664.942174291549
GENE202,605.772195075895,548.750100349362,551.215600297794,733.771288761305
GENE203,524.763108993709,736.188599672926,352.043441601169,428.089801675441
GENE204,562.798109528582,722.445616702037,282.54114083629,603.142033514713
GENE205,358.603820190479,636.83855053973,376.330928378674,513.148809739204
GENE206,628.083369301551,755.33211742066,564.918538161348,407.123206126581
GENE207,782.039392127391,551.835868749729,691.558829107788,512.19496565732
GENE208,579.097669144125,629.773726492899,602.82479746097,840.661401019528
GENE209,637.814827874366,828.617384003981,464.375940091932,494.740044861833
GENE210,430.092022158886,701.913717571321,775.470901263326,478.590608932264
GENE211,745.007533828627,798.003412779935,395.552116618666,388.170392914341
GENE212,624.593061808031,542.417069632488,509.651816333182,510.944637190084
GENE213,285.935148927862,546.227429078907,615.031946709625,581.639653778672
GENE214,555.919955792819,475.759877931693,358.009109129364,563.014666723237
GENE215,341.015037676989,455.521064418,311.716174877684,648.428864244602
GENE216,555.835125887067,547.936724253863,364.316718329361,297.893039907083
GENE217,724.165441891866,517.472713079321,484.773834933358,626.169401956774
GENE218,664.225212834602,663.226083759546,370.682715148425,638.588399729081
GENE219,425.720335379594,365.103440612259,480.394450962028,344.63718917827
GENE220,526.830576937496,512.984222713885,803.440500065791,536.664841321086
GENE221,398.731697765854,603.730461718661,530.794013994136,485.779499276782
GENE222,370.42012402799,536.081462450918,506.759580813811,288.933317791105
GENE223,483.043917797341,691.461037108704,586.882883976697,540.666717716327
GENE224,549.645887107718,608.910368756014,704.51605365504,729.98092490385
GENE225,592.995264820717,258.128517341402,738.127910031869,531.726794547702
GENE226,799.022924399453,563.993805759387,294.36997095616,488.842728244195
GENE227,706.229353878145,474.30898280436,415.092978155328,336.787348558984
GENE228,551.203327514674,353.325024065177,582.681763871285,529.348931259813
GENE229,516.394585431636,984.404577840213,622.250520545691,246.284568918384
GENE230,350.462895908641,552.223888698063,590.837180982409,558.132001112675
GENE231,476.681961677865,318.429446124184,608.486380273305,509.973195961936
GENE232,665.90754928144,751.167338459812,527.264949282148,629.952605571674
GENE233,489.103128417078,562.547303154157,587.706507335324,775.759745004827
GENE234,533.047210604102,476.118108843909,499.979301171251,454.918826141665
GENE235,720.745405450516,489.83867776306,681.889057193277,707.591969979269
GENE236,578.728025406035,634.656745162846,410.434203690272,228.003540530304
GENE237,637.442644483744,586.766834024998,796.938588018562,753.350657650472
GENE238,402.662921789529,358.058555617327,469.14834978622,498.678893285131
GENE239,498.579145597063,624.109690055847,428.901240780474,654.197606335046
GENE240,498.454499586922,719.835213391116,441.963241510378,525.311043757343
GENE241,577.444716639044,450.434682189148,491.854653190682,611.045993619621
GENE242,696.073821413564,631.23299961831,711.961694681267,614.5980758076
GENE243,613.312171630467,519.164674168999,490.600366994037,523.851691767352
GENE244,525.483871450328,637.743130887331,526.694744208546,671.312215944787
GENE245,640.530910049583,381.796480867693,334.628052479589,822.524613879744
GENE246,573.606954102907,613.765734455508,479.930602258537,826.744386775206
GENE247,711.24623735871,513.538361994609,549.941396453789,584.460888609597
GENE248,244.059533467754,712.413590931427,763.105800548807,452.353491558353
GENE249,512.848396269674,506.54939514843,591.223122393221,660.493081269703
GENE250,585.963827591243,775.350695859098,383.394297151873,387.906317521592
GENE251,653.250815916763,600.391903409817,571.694301724826,578.052719787387
GENE252,716.880221888483,668.802852117476,309.177600686081,590.844863297748
GENE253,567.925255951167,286.558406148792,462.81172332384,450.950143485594
GENE254,347.963462285434,924.71286575443,673.473115475264,598.013317813873
GENE255,545.851198509126,831.966152211778,713.584549297359,295.553350086095
GENE256,617.12244359145,601.258946913061,487.933799385794,495.342160346031
GENE257,321.200927911126,804.248118627432,708.750515528771,617.912846046662
GENE258,431.98722465279,703.438983151774,470.529570385201,605.565047859179
GENE259,689.368467583003,561.477279440164,620.021318453515,929.354058852713
GENE260,498.875139071798,741.222025980155,521.272518911824,563.969056948298
GENE261,614.677800236946,450.120908587396,463.155604157301,506.064920685154
GENE262,469.098672883468,362.252314412199,535.367840070546,492.191927023457
GENE263,497.957112076467,406.72826535843,582.53503144251,524.114612286279
GENE264,357.850053100207,709.455559047116,818.208571408039,356.168566038764
GENE265,775.684502079054,685.923979969088,446.791627172687,536.90573179904
GENE266,675.659472615557,530.973099109248,594.105361942116,549.347784906221
GENE267,599.051824170493,508.563257579859,758.522343399007,476.829522300871
GENE268,484.011077479491,442.126528127553,594.289345636189,506.209874766623
GENE269,686.972869586685,581.006106708062,569.951324619901,499.333083066572
GENE270,397.663177864148,514.21960796611,620.132759249624,598.991804894561
GENE271,400.316450268399,520.547978822216,444.751541430432,609.371200260347
GENE272,629.835085757592,478.294191663583,202.959172389519,544.676889027751
GENE273,714.591446070648,669.980819074011,621.681770758546,659.2015389056
GENE274,429.014720018691,694.861271558401,798.699833961972,693.613210384354
GENE275,842.652547373434,687.453228905912,569.092196881654,679.003882180053
GENE276,432.024814066704,420.144817421565,787.650238102074,583.648841741112
GENE277,675.123537535982,716.329083100782,892.221984231165,787.291546049668
GENE278,638.799826076404,382.876174980951,780.87560571973,617.029632906595
GENE279,712.763002358095,568.621834444278,615.175956504667,538.145964754378
GENE280,476.579468793065,160.142880891428,640.598113277317,531.927297189705
GENE281,529.587422697338,765.053131842453,616.745720719025,539.328806134706
GENE282,429.863422520484,669.613766593147,619.139312798668,698.361953335873
GENE283,390.254443962203,763.503919899711,545.442245054626,495.688902788821
GENE284,574.184627781717,576.953463224772,420.9516093559,857.792204211889
GENE285,605.052573853957,554.624113702417,648.616406317504,659.283408514679
GENE286,637.937450652889,447.817007615528,573.098538270223,566.931032231499
GENE287,408.275377731712,520.541952766248,414.226805095832,700.734924509738
GENE288,636.570143631133,649.945802002812,660.759544867952,560.956820888363
GENE289,486.081715180096,707.602483562711,544.277376054281,437.213476918961
GENE290,684.273401502022,487.07119981291,603.345764589,608.852527638457
GENE291,730.776806513198,480.519494530342,452.138414268281,488.55654400687
GENE292,549.15058350208,771.987111926734,514.345560985517,526.786409703483
GENE293,534.291086837619,441.047592106098,597.227296220277,470.466590650393
GENE294,592.932281107458,563.230714391752,733.766713919283,525.729079716649
GENE295,288.158363744478,682.372976129925,604.179142739865,593.064748820712
GENE296,637.479083108055,419.977987007845,331.407629465167,401.452895069782
GENE297,796.091784991539,681.366840017963,394.032688972661,636.771930955905
GENE298,855.47433495545,529.328047205432,427.295082095496,561.535226404449
GENE299,845.002843754313,533.783335213422,551.243035984699,416.462733304809
GENE300,292.38163284608,370.414331920617,756.486804874117,397.291605675786
GENE301,662.845478915989,739.753897979143,461.320848732933,464.605962183544
GENE302,773.652768478467,923.898950590859,570.799512369743,392.585006800258
GENE303,620.991562841572,393.416830034357,626.597907906486,302.209592994137
GENE304,540.325495022354,399.209463081346,355.321130872624,473.118813677277
GENE305,499.632839201654,781.814114198112,675.206353212856,550.688357536845
GENE306,629.065199416772,687.378962855101,536.037162237553,701.913467123558
GENE307,712.555436480642,927.402168315802,568.395230593918,524.137714467621
GENE308,394.22543462044,686.944098898291,639.315927057323,479.051865405758
GENE309,421.944555312276,891.867782926666,867.90361628798,319.932161573105
GENE310,381.621980472917,652.334345932621,607.117959024186,411.56066788504
GENE311,440.831040254034,214.313529276373,409.238615540911,872.412377086559
GENE312,465.251900890551,675.061151017356,427.065462658882,646.788067254657
GENE313,441.454434525721,398.334727544354,433.605093959839,498.603604583866
GENE314,741.552222984337,769.401882095687,417.986259970473,777.023250542296
GENE315,558.367404453846,342.650782090937,575.793083851,514.838701742315
GENE316,686.503484150746,595.589832532764,713.353596881043,645.650880560402
GENE317,637.926757877766,542.665955955304,553.606330092109,666.486165466468
GENE318,494.131515543346,669.063929370708,452.82988891804,806.65860449901
GENE319,361.715139015429,718.301508925407,590.328199716977,516.092492805323
GENE320,595.725769756132,272.460512954856,386.51710837134,531.275754684435
GENE321,301.739007265073,615.323351246978,524.185924812217,632.435305409715
GENE322,261.6868978132,584.299049368441,434.712813453975,652.855187683832
GENE323,883.306277614507,623.641819494571,608.072017413087,553.467656439431
GENE324,421.492503935045,764.385069188093,589.528677994587,784.376285919821
GENE325,693.340670225298,320.575018849354,520.520022682589,664.475771156219
GENE326,556.105188989741,638.314758393998,418.240189513022,535.54927606934
GENE327,556.708450388652,523.826097377029,588.517930540815,686.650169447978
GENE328,354.561099159259,735.99345752936,710.234139075179,665.565883372584
GENE329,400.290009990842,792.920740467324,605.145172922568,245.766187913839
GENE330,687.481478830641,355.497066204191,693.859385507754,427.942682157563
GENE331,538.433434189217,466.94382534471,268.520116624789,554.918237219975
GENE332,555.365467430714,488.885442367854,667.698387675593,530.294583579522
GENE333,640.705487684003,427.996119703904,573.776749266582,799.037310945063
GENE334,701.184514394369,427.31400121867,439.636729903554,447.471757274761
